Date,Day,Slot Time,Pickleball Court 1,Pickleball Court 2,Pickleball Court 3,Pickleball Court 4,Last checked
18 Sep 2026,Fri,5:00 am to 5:30 am,,,,,
18 Sep 2026,Fri,5:30 am to 6:00 am,,,,,
18 Sep 2026,Fri,6:00 am to 6:30 am,,,,,
18 Sep 2026,Fri,6:30 am to 7:00 am,,,,,
18 Sep 2026,Fri,7:00 am to 7:30 am,,,,,
18 Sep 2026,Fri,7:30 am to 8:00 am,,,,,
18 Sep 2026,Fri,8:00 am to 8:30 am,,,,,
18 Sep 2026,Fri,8:30 am to 9:00 am,,,,,
18 Sep 2026,Fri,9:00 am to 9:30 am,,,,,
18 Sep 2026,Fri,9:30 am to 10:00 am,,,,,
18 Sep 2026,Fri,10:00 am to 10:30 am,,,,,
18 Sep 2026,Fri,10:30 am to 11:00 am,,,,,
18 Sep 2026,Fri,11:00 am to 11:30 am,,,,,
18 Sep 2026,Fri,11:30 am to 12:00 pm,,,,,
18 Sep 2026,Fri,12:00 pm to 12:30 pm,,,,,
18 Sep 2026,Fri,12:30 pm to 1:00 pm,,,,,
18 Sep 2026,Fri,1:00 pm to 1:30 pm,,,,,
18 Sep 2026,Fri,1:30 pm to 2:00 pm,,,,,
18 Sep 2026,Fri,2:00 pm to 2:30 pm,,,,,
18 Sep 2026,Fri,2:30 pm to 3:00 pm,,,,,
18 Sep 2026,Fri,3:00 pm to 3:30 pm,,,,,
18 Sep 2026,Fri,3:30 pm to 4:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,4:00 pm to 4:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,4:30 pm to 5:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,5:00 pm to 5:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,5:30 pm to 6:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,6:00 pm to 6:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,6:30 pm to 7:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,7:00 pm to 7:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,7:30 pm to 8:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,8:00 pm to 8:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,8:30 pm to 9:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,9:00 pm to 9:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,9:30 pm to 10:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,10:00 pm to 10:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,18 Sep 04:04
18 Sep 2026,Fri,10:30 pm to 11:00 pm,,,,,
18 Sep 2026,Fri,11:00 pm to 11:30 pm,,,,,
18 Sep 2026,Fri,11:30 pm to 12:00 am,,,,,
